Req_No,Req_Date,ReqBy,Category,SubCategory,ProjectCode,ProjectName,ThemeticArea,FundedBy,Proposal_No,Report_No,Copyright,ProjectManager,Title,Sub_Title,Tags,Abstract_Summary,Remark,Document_Category,AuthName,Accepted,FileName,FileType,FileSize,ContentOrigin,Status,Reason
1,"24-04-2023 ",Avinash,Evaluation Baseline,Tools,PF099,"Fossil - ",,Fossil Foundation,,No,No,Vandana Nair,"Baseline Evaluation tool in English for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,"Fossil, Education, Digital literacy, Neev, gender equality, adolescent girls, Agency, health, domestic violence, baseline, tool","Baseline Tool in english for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,Critical and not confidential,Mercy Manoranjini,,Fossil Baseline tool_english_final.doc,Document,0,Jharkhand - JH,Pending,
1,"24-04-2023 ",Pratyaya,Evaluation Baseline,Tools,PF099,"Fossil - ",,Fossil Foundation,,No,No,Vandana Nair,"Baseline Evaluation tool in English for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,"Fossil, Education, Digital literacy, Neev, gender equality, adolescent girls, Agency, health, domestic violence, baseline, tool","Baseline Tool in english for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,Critical and not confidential,Mercy Manoranjini,,Fossil Baseline tool_english_final.doc,Document,0,Jharkhand - JH,Pending,
2,"12-05-2023 ",Pratyaya,Evaluation Baseline,Tools,PF099,"Fossil - ",,Fossil Foundation,,No,No,Vandana Nair,"Baseline Evaluation tool in Hindi for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,"Fossil, Education, Digital literacy, Neev, gender equality, adolescent girls, Agency, health, domestic violence, baseline, tool, Hindi Tool","Baseline Tool in Hindi for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,Critical and not confidential,Mercy Manoranjini,,Fossil Baseline tool_hindi_final.doc,Document,0,Jharkhand - JH,Pending,
4,"12-05-2023 ",Pratyaya,Evaluation Baseline,Factsheet,PF099,"Fossil - ",,Fossil Foundation,,No,No,Vandana Nair,"Baseline Evaluation Factsheet for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,"Fossil, Education, Digital literacy, Neev, gender equality, adolescent girls, Agency, health, domestic violence, baseline, factsheet","Baseline Factsheet for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,Critical and not confidential,Mercy Manoranjini,,Fossil Baseline_Factsheet_Final.xlsx,Document,0,Jharkhand - JH,Pending,
1,"12-05-2023 ",GUNJAN,Evaluation Baseline,Tools,PF099,"Fossil - ",,Fossil Foundation,,No,No,Vandana Nair,"Baseline Evaluation tool in English for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,"Fossil, Education, Digital literacy, Neev, gender equality, adolescent girls, Agency, health, domestic violence, baseline, tool","Baseline Tool in english for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,Critical and not confidential,Mercy Manoranjini,,Fossil Baseline tool_english_final.doc,Document,0,Jharkhand - JH,Approved,
5,"12-05-2023 ",GUNJAN,Evaluation Baseline,Presentation,PF099,"Fossil - ",,Fossil Foundation,,No,No,Vandana Nair,"Baseline Evaluation Presentation for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,"Fossil, Education, Digital literacy, Neev, gender equality, adolescent girls, Agency, health, domestic violence, baseline, Presentation","Baseline Presentation for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,Critical and not confidential,Mercy Manoranjini,,Fossil Baseline_Presentation_Final.pptx,Document,0,Jharkhand - JH,Rejected,mnn
2,"12-05-2023 ",GUNJAN,Evaluation Baseline,Tools,PF099,"Fossil - ",,Fossil Foundation,,No,No,Vandana Nair,"Baseline Evaluation tool in Hindi for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,"Fossil, Education, Digital literacy, Neev, gender equality, adolescent girls, Agency, health, domestic violence, baseline, tool, Hindi Tool","Baseline Tool in Hindi for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,Critical and not confidential,Mercy Manoranjini,,Fossil Baseline tool_hindi_final.doc,Document,0,Jharkhand - JH,Pending,
3,"12-05-2023 ",GUNJAN,Evaluation Baseline,Tools,PF094,Oracle - Y-4,,CHARITIES AID FOUNDATION INDIA (FOR ORACLE),,No,No,Anuragini  Nagar,Baseline Evaluation tools for Bridging digital divide,,"Akansha, Digital litercy, Briding the gap",Tools,,Critical and not confidential,Mercy Manoranjini,,Akansha Baseline Final Tool- 2 Jan 2018_Hindi_Bilingual.doc,Document,0,Jharkhand - JH,Pending,
5,"12-05-2023 ",Pratyaya,Evaluation Baseline,Presentation,PF099,"Fossil - ",,Fossil Foundation,,No,No,Vandana Nair,"Baseline Evaluation Presentation for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,"Fossil, Education, Digital literacy, Neev, gender equality, adolescent girls, Agency, health, domestic violence, baseline, Presentation","Baseline Presentation for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,Critical and not confidential,Mercy Manoranjini,,Fossil Baseline_Presentation_Final.pptx,Document,0,Jharkhand - JH,Pending,
7,"12-05-2023 ",Pratyaya,Evaluation Baseline,Report,PF099,"Fossil - ",,Fossil Foundation,,No,No,Vandana Nair,"Baseline Evaluation Report for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,"Fossil, Education, Digital literacy, Neev, gender equality, adolescent girls, Agency, health, domestic violence, baseline, report","Baseline Report for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,Critical and not confidential,"Mercy Manoranjini, Ajay Kumar, Pratyaya Mitra",,Fossil Baseline_Report_Final.pdf,Document,0,Jharkhand - JH,Rejected,test
